title,author,advisor,year,university,state,pages,subfield,is_sensitive,keywords_raw
Examining Spatial Arbitrage: Effect of Electronic Commerce and Arbitrageur Strategies,"Subramanian, Hemang C.","Overby, Eric",2015,Georgia Institute of Technology,Georgia,123,Economics,FALSE,Behavior; Efficient markets; Product quality; Arbitrage; Purchasing; Exploitation; Costs; Webcasting; Profits; Behavioral economics; Information systems; Prices; Supply & demand; Electronic commerce; Energy economics; Specialization; Crude oil; Vehicles; Behavioral psychology; Economics; Finance; Information technology; Transportation; 0501:Economics; 0489:Information Technology; 0709:Transportation; 0508:Finance; 0384:Behavioral psychology
Portfolio Choice with Life Annuities Under Probability Distortion,"Zheng, Wenyuan","Hartman, Brian M.",2015,University of Connecticut,Connecticut,103,Systems science,FALSE,Behavior; Stock prices; Partial differential equations; Dynamic programming; Investments; Defined benefit plans; Investment policy; Mortality; Policyholders; Retirees; Securities markets; Decision making; Retirement planning; Defined contribution plans; Annuities; Endowment; Behavioral economics; Probability; Stochastic models; Utility functions; Asset allocation; Cost control; Stochastic control theory; Insurance industry; Behavioral psychology; Economics; Finance; Gerontology; Systems science; 0790:Systems science; 0501:Economics; 0351:Gerontology; 0508:Finance; 0384:Behavioral psychology
Economics as an Experimental Science: Using Field Experiments to Test Models of Economic Behavior,"Kerwin, Jason Theodore","Thornton, Rebecca L.; Smith, Jeffrey A.",2015,University of Michigan,Michigan,223,Economic Theory,FALSE,Mechanism experiments; Labor economics; Health economics; Development economics; Economist; Economic theory; Economics; 0511:Economic theory; 0510:Labor economics; 0501:Economics
Examining the Role of Personal Problems In Determining Income,"Greene, Sara Elizabeth","Jackson, John D.; Stern, Michael L.; Beard, Thomas R.; Thompson, Henry S.",2015,Auburn University,Alabama,139,Individual & family studies,TRUE,Hiring; Drug abuse; Divorce; Employment; Families & family life; Supply & demand; Production functions; Business growth; Wages & salaries; Labor economics; Marriage; Leisure; Elasticity of demand; Alcohol use; Drug use; Consumption; Children & youth; Profit maximization; Utility functions; Demand curves; Specialization; Real income; Economics; Individual & family studies; Labor relations; Recreation; 0628:Individual & family studies; 0510:Labor economics; 0501:Economics; 0629:Labor relations; 0814:Recreation
A Market-Based Approach for Valuing Ecosystem Services on Coastal Properties,"Savolainen, Michelle A.","Kazmierczak, Richard F.",2015,Louisiana State University and Agricultural & Mechanical College,Louisiana,86,Environmental Health,FALSE,Environmental economics; Environmental protection; Floods; Economics; Environmental health; Medicine; 0470:Environmental Health; 0501:Economics; 0438:Environmental economics; 0564:Medicine
Essays in Public and Labor Economics,"Panier, Frédéric","Hoxby, Caroline; Moser, Petra; Pérez-González, Francisco",2015,Stanford University,California,193,Sociology,TRUE,Public economics; New York Stock Exchange; Ethnic discrimination; Ethnic networks; Sociology; Labor economics; Finance; Ethnic studies; 0626:Sociology; 0510:Labor economics; 0508:Finance; 0631:Ethnic studies
Essays in Development Economics: Lessons from an Apprentice Placement Program in Ghana,"McCasland, Jamie Lee","Miguel, Edward A.",2015,"University of California, Berkeley",California,111,Economics,FALSE,Social sciences; Apprentice placement program; Development economics; Essays; Ghana; African studies; Economics; 0501:Economics; 0293:African Studies
Essays in Behavioral Health Economics,"Mori Madeira, Tarso","Della Vigna, Stefano",2015,"University of California, Berkeley",California,83,Economics,FALSE,Social sciences; Behavioral economics; Health economics; Economics; 0501:Economics
Switching to switchgrass: Pathways and consequences of bioenergy switchgrass entering the Midwestern landscape,"Krohn, Brian","Polasky, Steve",2015,University of Minnesota,Minnesota,128,Agricultural Economics,FALSE,Social sciences; Applied sciences; Bioenergy; Ecosystem service payments; Marginal land; Switchgrass; Energy; Environmental economics; Agricultural economics; 0503:Agricultural economics; 0791:Energy; 0438:Environmental economics
"Essays on Health, Health Care Utilization, and Public Insurance","Bersak, Timothy Andrew","Wilson, Paul W.",2015,Clemson University,South Carolina,76,Economic Theory,FALSE,Social sciences; Health; Public insurance; Utilization; Labor economics; Economic theory; Economics; 0511:Economic theory; 0510:Labor economics; 0501:Economics
